Centralized Follow-up Tracker,,,,,,,,,
Task ID,Task Description,Owner,Priority,Deadline,Status,Progress %,Comments,,
1,Confirm webinar date (May 15–16),Veronica,Medium,4/23/2026,Completed,100%,,,
2,Schedule alignment meeting to close Legal Review & Space Index Mapping MoC,Bayda,Medium,2026-04-20,Completed,100%,,,
3,Follow up and schedule meeting with Nova Space,Veronica,Medium,4/23/2026,Completed,100%,,,
4,Develop comprehensive RFP for Space Index (Plan B),Veronica,High,4/30/2026,Not Started,75%,,changed %,
5,Develop high-level cross-sector map,Veronica,Medium,4/30/2026,Not Started,50%,,changed %,
6,Share Life Sciences draft for internal review,Veronica,Medium,4/30/2026,Completed,100%,,,
7,Coordinate with IT to obtain access to “ CSF-info” email,May,High,,Completed,100%,,,
8,Review concepts note on space debris/investor engagement and provide feedback,Mishaal,Medium,4/19/2026,Completed,100%,,,
9,Reach out to Hajime to alert on Veronica’s email request on Airbus Ventures and WISE,Mishaal,Medium,4/20/2026,Completed,100%,,,
10,Send follow-up email to Alfaisal team,Bayda,Low,4/20/2026,Completed,100%,,,
11,"Call a meeting with SSA, Novaspace and LeoLabs to discuss about the IADC proposal",Veronica,Medium,4/22/2026,Completed,100%,,,
12,Finalize Sections 1 and 3 of the Space Technology paper; schedule review meeting with Mishaal,Veronica & Jude,Medium,4/22/2026,Completed,100%,,,
13,Complete AI Governance Proposal review to ensure CSF's voice is accurate,Mishaal,High,4/22/2026,Completed,100%,,,
14,Provide update on the Direct Award for Content development and Marketing and Communication,Bayda,Medium,NA,Completed,100%,,,
15,Update website description (CSF–SSA–WEF relationship + space technology focus),Jude,Medium,4/23/2026,Completed,100%,,,
16,Raise logo/Saudi Arabia branding issue at next contract renewal,Bayda,High,,Completed,100%,at contract renewal,,
17,Follow up with ETIMAD/IT on document disclosure issue for RFP submissions,Bayda,High,,Completed,100%,Next week with Ibrahim Alswialim (week of April 26-May 2),,
18,Coordinate with Najla on the Space Policy webinar for May 12,Veronica,High,4/22/2026,Completed,100%,,,
19,Analyze upcoming events to identify opportunities for co-branded sessions with WEF and report back,Bayda,Medium,4/23/2026,In Progress,50%,,,
20,Finalize and share concept note for webinar with investors about space debris report for potential finance community participation,Veronica,High,4/23/2026,In Progress,100%,,Changed 100%,
21,Share draft of space technology report by end of April,Veronica,High,4/23/2026,In Progress,50%,,,
22,"Identify relevant events for 2026 participation (e.g., Satellite)",Bayda,High,,In Progress,50%,,,
23,Develop a webinar concept note,Najla,High,4/23/2026,Completed,100%,,,
24,Review the collaboration plan document and provide feedback by next week,Mishaal,High,4/30/2026,In Progress,50%,,,
27,Finalize and share the webinar concept (finance investments) with forum team,Veronica,High,4/30/2026,In Progress,100%,,Changed 100%,
28,Submit abstract for life science agenda blog to editorial team,Veronica,High,4/30/2026,In Progress,100%,,Changed 100%,
29,Align on the Bull Space agenda blog to include sustainability and broader impact perspective,Veronica & Jude,High,4/30/2026,In Progress,50%,,,
30,Finalize speakerslist for the Space Policy Webinar and send the invites,Najla ,High,4/26/2026,Completed,100%,,,
31,Finalize invitee list (not speakers) for the Space Policy Webinar,Veronica & Jude,High,4/27/2026,Completed,100%,,,
32,Develop the registration form for the webinar,Veronica & Jude,High,4/27/2026,In Progress,100%,,Changed 100%,
33,Invite participants for the Webinar Space,Veronica & Jude,High,5/4/2026,In Progress,100%,,Changed 100%,see comment too 
34,Coordinate with SSA Marcomm for LinkedIn post for the Webinar pre and post webinar posts,Jude,High,4/30/2026,In Progress,50%,,check,
35,Publish the LinkedIn post regarding the Webinar Space Policy with the coordination SSA Marcomm,Jude,High,5/5/2026,In Progress,100%,,Changed 100%,
36,Draft PPT for the Webinar Space Policy,Najla,High,4/30/2026,In Progress,75%,,Changed 75%,she is waiting on speaker slides
37,"Prepare a draft delegation decision granting the CSF MD the authority to sign agreements, in accordance with the approved Procedural Guide for Agreements and Delegation of Authority (DOA) by HE and share it with the Legal Department.",Bayda,Medium,,In Progress,85%,received  approval for the procedural guide and DOA and currently it is with P&D sector  ,changed to 85%,
38,Review the PPT that Veronica created regarding Cross Sectional Project,Mishaal,High,4/27/2026,Completed,100%,,,
39,Conduct the final review of the Life Sciences Project and proceed with submitting it to the World Economic Forum blog agenda request.,Veronica,High,4/26/2026,Completed,100%,,,
40,Prepare invitation email,Jude,High,5/3/2026,Completed,100%,Space Policy Webinar,,
41,Send event invitation,May,High,5/4/2026,Completed,100%,Space Policy Webinar,,
42,share communication content,Jude,High,5/3/2026,Completed,100%,Space Policy Webinar,,
43,Prepare and finalize presentation material,Najla,High,4/30/2026,Completed,100%,Space Policy Webinar,,
44,Align on presentation roles and finalize speakers,Veronica & Najla,High,5/7/2026,Completed,100%,Space Policy Webinar,,
45,Design audience engagement questions (polls/word cloud),Veronica & Najla,High,5/7/2026,Completed,100%,Space Policy Webinar,,
46,Test event platform and technical,Veronica & Najla,High,5/7/2026,Completed,100%,Space Policy Webinar,,
47,Resolve platform access and finalize RFP inputs,Veronica,High,4/30/2026,Completed,100%,,,
48,Complete review of the 2/5 shared space technology deep dives,Mishaal,High,4/30/2026,In Progress,100%,,Changed %,
49,Prepare contingency plan with Yasser Haizan SSA’s Graphic Designer ,Jude,High,4/30/2026,Completed,100%,,,
50,Finalize and submit proposal (AI Governance),Jude,High,4/30/2026,Completed,100%,,,
51,Align NDA with Legal and proceed with coordination between Alfaisal University and Metakosmos ,Bayda,High,4/30/2026,Completed,100%,,,
52,Continue finalizing space technology report,Veronica & Jude,High,4/30/2026,In Progress,50%,,,
53,Finalize and share Space Policy Webinar social media content with communications team,Jude,High,4/30/2026,Completed,100%,,,
54,Follow up individually with partners on MoC approval and signing status,Bayda,High,4/30/2026,Completed,100%,,,
55,Share draft press release with partners for review,Bayda,High,4/30/2026,Completed,100%,,,
56,Finalize draft RFP for Space Index,Veronica,High,5/7/2026,Completed,100%,,,
57,Prepare and share cross-sectional initiatives overview (one-pager per project),Veronica & Sharif,High,5/14/2026,In Progress,50%,,,
58,Coordinate with IT to set up webinar (Webex) and ensure recording functionality,Veronica & Jude,High,5/4/2026,Completed,100%,,,
59,Schedule and conduct rehearsal session for webinar,"Jude, Veronica, Bayda, Najla",High,5/6/2026,Completed,100%,,,
60,Adding new contacts to invitee list for Space Policy Webinar,"Mishaal, Bayda, May",High,5/3/2026,Completed,100%,,,
61,Initiating the coordination with Sharif to prepare the handover ,Veronica,High,5/5/2026,Completed,100%,,,
62,Finalize and share Space Debris presentation (including interactive tools) for the investors’ webinar,Veronica,High,5/4/2026,In Progress,75%,,changed %,
63,Send invitations for Space Debris session – investors’ webinar,Veronica & Jude,High,5/5/2026,Completed,100%,,,
64,Continue finalizing space technology report,Veronica & Jude,High,,In Progress,50%,,,
65,Follow up on Marketplace RFP approval status,Veronica,High,5/7/2026,In Progress,50%,,,
66,Address MoC bottleneck via direct escalation (email to partner leadership at ESPI),Mishaal,High,5/4/2026,In Progress,100%,,changed %,
67,Complete review of the 5/5 shared space technology deep dives,Mishaal,High,,In Progress,100%,,changed %,
68,Coordinate with procurement on revised direct award MarCom proposal,Bayda,High,,In Progress,50%,,,
69,Confirm and attend Meta Kosmos collaboration meeting,Bayda,High,5/7/2026,In Progress,50%,,,
70,Ensure event “Technology Forum by TEHA Group” photography coordination,Bayda,High,,In Progress,50%,To be shared with flight and accommodation conformation -,,
71,Assess how to request help to the rest of the team for Space Tech Gulf’s magazine,Veronica & Jude,High,5/10/2026,In Progress,50%,,,
